"06726: Omsetning av boligeiendommer med bygning i fritt salg, etter region og år"
"region";"1992 Omsetninger (antall)";"1992 Samlet kjøpesum (1 000 kr)";"1992 Gjennomsnittlig kjøpesum per omsetning (1 000 kr)";"1993 Omsetninger (antall)";"1993 Samlet kjøpesum (1 000 kr)";"1993 Gjennomsnittlig kjøpesum per omsetning (1 000 kr)";"1994 Omsetninger (antall)";"1994 Samlet kjøpesum (1 000 kr)";"1994 Gjennomsnittlig kjøpesum per omsetning (1 000 kr)";"1995 Omsetninger (antall)";"1995 Samlet kjøpesum (1 000 kr)";"1995 Gjennomsnittlig kjøpesum per omsetning (1 000 kr)";"1996 Omsetninger (antall)";"1996 Samlet kjøpesum (1 000 kr)";"1996 Gjennomsnittlig kjøpesum per omsetning (1 000 kr)";"1997 Omsetninger (antall)";"1997 Samlet kjøpesum (1 000 kr)";"1997 Gjennomsnittlig kjøpesum per omsetning (1 000 kr)";"1998 Omsetninger (antall)";"1998 Samlet kjøpesum (1 000 kr)";"1998 Gjennomsnittlig kjøpesum per omsetning (1 000 kr)";"1999 Omsetninger (antall)";"1999 Samlet kjøpesum (1 000 kr)";"1999 Gjennomsnittlig kjøpesum per omsetning (1 000 kr)";"2000 Omsetninger (antall)";"2000 Samlet kjøpesum (1 000 kr)";"2000 Gjennomsnittlig kjøpesum per omsetning (1 000 kr)";"2001 Omsetninger (antall)";"2001 Samlet kjøpesum (1 000 kr)";"2001 Gjennomsnittlig kjøpesum per omsetning (1 000 kr)";"2002 Omsetninger (antall)";"2002 Samlet kjøpesum (1 000 kr)";"2002 Gjennomsnittlig kjøpesum per omsetning (1 000 kr)";"2003 Omsetninger (antall)";"2003 Samlet kjøpesum (1 000 kr)";"2003 Gjennomsnittlig kjøpesum per omsetning (1 000 kr)";"2004 Omsetninger (antall)";"2004 Samlet kjøpesum (1 000 kr)";"2004 Gjennomsnittlig kjøpesum per omsetning (1 000 kr)";"2005 Omsetninger (antall)";"2005 Samlet kjøpesum (1 000 kr)";"2005 Gjennomsnittlig kjøpesum per omsetning (1 000 kr)";"2006 Omsetninger (antall)";"2006 Samlet kjøpesum (1 000 kr)";"2006 Gjennomsnittlig kjøpesum per omsetning (1 000 kr)";"2007 Omsetninger (antall)";"2007 Samlet kjøpesum (1 000 kr)";"2007 Gjennomsnittlig kjøpesum per omsetning (1 000 kr)";"2008 Omsetninger (antall)";"2008 Samlet kjøpesum (1 000 kr)";"2008 Gjennomsnittlig kjøpesum per omsetning (1 000 kr)";"2009 Omsetninger (antall)";"2009 Samlet kjøpesum (1 000 kr)";"2009 Gjennomsnittlig kjøpesum per omsetning (1 000 kr)";"2010 Omsetninger (antall)";"2010 Samlet kjøpesum (1 000 kr)";"2010 Gjennomsnittlig kjøpesum per omsetning (1 000 kr)";"2011 Omsetninger (antall)";"2011 Samlet kjøpesum (1 000 kr)";"2011 Gjennomsnittlig kjøpesum per omsetning (1 000 kr)";"2012 Omsetninger (antall)";"2012 Samlet kjøpesum (1 000 kr)";"2012 Gjennomsnittlig kjøpesum per omsetning (1 000 kr)";"2013 Omsetninger (antall)";"2013 Samlet kjøpesum (1 000 kr)";"2013 Gjennomsnittlig kjøpesum per omsetning (1 000 kr)";"2014 Omsetninger (antall)";"2014 Samlet kjøpesum (1 000 kr)";"2014 Gjennomsnittlig kjøpesum per omsetning (1 000 kr)";"2015 Omsetninger (antall)";"2015 Samlet kjøpesum (1 000 kr)";"2015 Gjennomsnittlig kjøpesum per omsetning (1 000 kr)";"2016 Omsetninger (antall)";"2016 Samlet kjøpesum (1 000 kr)";"2016 Gjennomsnittlig kjøpesum per omsetning (1 000 kr)";"2017 Omsetninger (antall)";"2017 Samlet kjøpesum (1 000 kr)";"2017 Gjennomsnittlig kjøpesum per omsetning (1 000 kr)";"2018 Omsetninger (antall)";"2018 Samlet kjøpesum (1 000 kr)";"2018 Gjennomsnittlig kjøpesum per omsetning (1 000 kr)";"2019 Omsetninger (antall)";"2019 Samlet kjøpesum (1 000 kr)";"2019 Gjennomsnittlig kjøpesum per omsetning (1 000 kr)";"2020 Omsetninger (antall)";"2020 Samlet kjøpesum (1 000 kr)";"2020 Gjennomsnittlig kjøpesum per omsetning (1 000 kr)";"2021 Omsetninger (antall)";"2021 Samlet kjøpesum (1 000 kr)";"2021 Gjennomsnittlig kjøpesum per omsetning (1 000 kr)";"2022 Omsetninger (antall)";"2022 Samlet kjøpesum (1 000 kr)";"2022 Gjennomsnittlig kjøpesum per omsetning (1 000 kr)";"2023 Omsetninger (antall)";"2023 Samlet kjøpesum (1 000 kr)";"2023 Gjennomsnittlig kjøpesum per omsetning (1 000 kr)";"2024 Omsetninger (antall)";"2024 Samlet kjøpesum (1 000 kr)";"2024 Gjennomsnittlig kjøpesum per omsetning (1 000 kr)";"2025 Omsetninger (antall)";"2025 Samlet kjøpesum (1 000 kr)";"2025 Gjennomsnittlig kjøpesum per omsetning (1 000 kr)"
"3101 Halden";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"367";"1394044";"..";"448";"1680220";".."
"3103 Moss";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"855";"4354942";"..";"1068";"5739082";".."
"3105 Sarpsborg";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"706";"2797313";"..";"826";"3493095";".."
"3107 Fredrikstad";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1165";"5634381";"..";"1301";"6379890";".."
"3110 Hvaler";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"62";"341630";"..";"76";"418868";".."
"3112 Råde";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"111";"466868";"..";"125";"553512";".."
"3114 Våler (Østfold)";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"100";"408851";"..";"134";"591125";".."
"3116 Skiptvet";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"53";"165785";"..";"53";"199130";".."
"3118 Indre Østfold";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"794";"3046188";"..";"825";"3309389";".."
"3120 Rakkestad";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"126";"413905";"..";"104";"419410";".."
